User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
bawarezeki,1604690623063552000,2022-12-19 04:10:32+00:00,0,TweetDeck,"Garuda Indonesia Group melalui layanan penerbangan full service Garuda Indonesia dan low cost carrier (LCC) Citilink, mempersiapkan sedikitnya 1,3 juta kursi penerbangan pada periode peak season Natal 2022 dan Tahun Baru 2023 (Nataru). 

https://t.co/dxZAOAyufL @jokowi"
raja_trip,1604676847396352001,2022-12-19 03:15:48+00:00,0,twittbot.net,"Sedia Tiket Promo Pesawat 24jam !! "" Lion Air, Citilink, Mandala, Tiger airways, Air Asia, Sriwijaya, Merpati Airlines"" Tunggu Apa lagi !!!"
dumpedbymyself,1604656484595666945,2022-12-19 01:54:53+00:00,0,Twitter for iPhone,koh inget ga waktu km naik citilink trs di terminal 3 aku jemput di circle k? hihi skrg aku lg disini lg tau tp bukan buat jemput kamu https://t.co/Un8eHPs143
TiketPesawatPro,1604642091765596161,2022-12-19 00:57:42+00:00,0,twittbot.net,#tiketmurahmeriah #tiketpromo #garuda tiket pesawat murah ke bali citilink KLIK https://t.co/xaAlCMxF2U
TiketPesawatPro,1604559020718575616,2022-12-18 19:27:36+00:00,0,twittbot.net,#pariwisataindonesia #pariwisata_sumut #pariwisatasumutnet tiket pesawat jakarta malang citilink KLIK https://t.co/xaAlCMxF2U
aan__,1604544775553970178,2022-12-18 18:31:00+00:00,613,Twitter for iPhone,"Pramugari Qatar Airways pada ikut nganterin piala world cup. Harusnya citilink yg jadi sponsor, ntar kan pake pantun “buah manggis buah pepaya, selamat ya argentina” 🤍"
honestycommit,1604524544324435969,2022-12-18 17:10:36+00:00,0,Twitter for Android,Video tiktok made me memilih citilink aja buat pulang nanti
indoflyer,1604493176881876992,2022-12-18 15:05:58+00:00,37,Twitter for Android,"Garuda Indonesia, Citilink, Sriwijaya Air, Nam Air, Batik Air, Lion Air, dan Wings Air ditetapkan kembali sebagai terlapor kartel tiket pesawat setelah Mahkamah Agung kabulkan kasasi KPPU.

https://t.co/aYcTFuo6Dh"
raja_trip,1604480557496565760,2022-12-18 14:15:49+00:00,0,twittbot.net,"Sedia Tiket Promo Pesawat 24jam !! "" Lion Air, Citilink, Mandala, Tiger airways, Air Asia, Sriwijaya, Merpati Airlines"" Tunggu Apa lagi !!!"
hepShadow,1604478691131543553,2022-12-18 14:08:24+00:00,0,Twitter for Android,"Mana tetep ngotot suruh beli pesawat dalam negeri hadeh .. orng gk ada pesawat yg sesuai kebutuhan kok dipaksa , apalagi bedanya jauh pesawat perintis dibandingkan dengan pesawat regional. Transnusa baru branding baru biar bisa menyaingi lion ataupun citilink"
